label,text
spam,"CBN/NIN UPDATE: Complete verification immediately to avoid arrest/fine. Click https://bit.ly/nin-update-now"
spam,"NIN verification needed today to avoid arrest. Click www.nin-update-check.com"
spam,"EFCC notice: your BVN is under review. Complete verification now at http://tinyurl.com/verify-bvn"
spam,"URGENT: Your bank account will be blocked today. Verify now at www.bank-secure-login.com"
spam,"Debit alert reversal: send your OTP immediately to stop the transaction"
spam,"Your ATM card has been suspended. Confirm your PIN now"
spam,"You have been shortlisted for a job. Pay training fee to secure your slot"
spam,"NYSC recruitment: pay application fee now to continue"
spam,"Investment opportunity: double your money in 24 hours. Act fast"
spam,"Crypto/forex signal group: pay subscription now for guaranteed profit"
spam,"Dispatch rider: pay small fee to release your parcel today. Click link now"
spam,"Delivery failed. Confirm address now at www.dispatch-update.com"
spam,"Congratulations! You won a reward. Click http://bit.ly/claim-reward"
spam,"Final warning: verify your account now to avoid permanent restriction"
spam,"Your WhatsApp will be deactivated. Confirm now via this link"
spam,"You are eligible for free data bonus. Click to activate now"
spam,"Loan approval: pay processing fee to receive funds immediately"
spam,"Your account has suspicious activity. Reset password now via link"
spam,"CBN: update your details now to avoid account closure"
spam,"NIN: your record is incomplete. Click link to update immediately"
ham,"Hi please are we still meeting by 4pm today?"
ham,"Good morning, how are you doing today?"
ham,"Please call me when you are free"
ham,"I will send the document later today"
ham,"Thanks for your help, I appreciate it"
ham,"Your order will arrive tomorrow. Thank you"
ham,"I am on my way, see you soon"
ham,"Let’s reschedule the meeting to Friday"
ham,"Happy birthday, wishing you all the best"
ham,"Please remind me about the assignment later"
